"","Review","label"
"1","Love it. I don't like how my kids talk to her but I love having it!! Hands free!! I wish it was cordless.","Positive"
"2","Cool. Grandkids (five and seven) love it but sometimes they talk a little too fast to be understood.","Positive"
"3","This instrument might be the greatest thing since sliced bread, but the app makes it useless.  If you are lucky, it might recognize your password for your router, but it doesn't tell you.  Then the menus are dead ends, so you have to go back, and Amazon Music is the default!  About ready yo send it back and I have had it an our.  If you have Apple devices, look at the ratings for the app!","Positive"
"4","Love it  - Did not expect to !","Positive"
"5","The Echo is awesome. I cant wait to get connected devices light lights, thermostats, etc.... this thing is great. We use it all the time and have a lot of fun with it. Its actually quite surprising how well it does in taking commands and answering questions you would not expect it could ! I understand I can even have Alexa start my car now (note I don't think all manufacturers support yet) !","Positive"
"6","I liked this product while it lasted.  It has now gone dark and is unresponsive.  I tried unplugging it and plugging it back in, but alas.  She seems dead.","Negative"
"7","I received Alexa yesterday.  I was so excited to begin using the music app......","Positive"
"8","I think I have put in over 2 hours trying to make this work.","Positive"
"9","I will try to get help but may have to send it back....sorry to say.","Negative"
"10","I've forgotten what life before Alexa was like.  I love it.  Every morning I wake up and listen to my flash news briefing.  It was changed my life for the better!  I'm excited to see what future developments hold for this product.","Positive"
"11","I purchased this mainly to listen to music but I have found myself doing SO much more with it.  It plays games, turns off lights, plays OCEAN WAVES or RAIN - THIS IS GREAT!!!!  My mother was over and is purchasing her one as we speak!","Positive"
"12","AWESOME INVENTION I USE EVERY DAY ALONG WITH THE DOTS","Positive"
"13","More amazing.  The perfect ""Christmas gift for special people.","Positive"
"14","After purchasing the Amazon Echo I became very frustrated.  I am now unhappy that everything else in my life isn't voice activated!!!  I have told everyone I know how great this product is.  Well done Amazon!","Negative"
"15","On a serious note, I have caught myself starting to speak commands to other appliances, only to catch myself and realizing I have to actually pick up the remote to control them.  How barbaric!  lol","Negative"
"16","I would have given it 5 stars except for one maddening fault. When you tell it to turn on or off a device it  ALWAYS says ""I found multiple devices with that name. Which device did you mean?"" after witch you repeat exactly what you said the first time and it does what you asked. If it at least let you repeat the device name before it finished it wouldn't be so bad, but after 100 times it still always asks for the device name again and it gets extremely frustrating!!!!","Negative"
"17","love it","Positive"
"18","I absolutely love the Echo. At first I didn't think I would use it for anything other than music but I have been using it for everything from news updates and alarms to games, podcasts and my smart devices. The sound is excellent. I've recommended this to everyone in my family.","Positive"
